archive,folder_name,size_bytes,size_mb,file_count
jillem-full-archive,afro psych (journeys into psychedelic africa 1972 - 1977) (flac 320kb),106617392,101.68,15
jillem-full-archive,afro super-feelings led by segun okeji - i like woman (320kb),71187338,67.89,10
jillem-full-archive,afro tropical soundz vol. 1 (soundway) (flac 320kb),131262776,125.18,21
jillem-full-archive,afro-beat airways - west african shock waves - ghana & togo (1972-78) (320kb booklet),233220369,222.42,35
jillem-full-archive,afro-beat airways - west african shock waves - ghana & togo (1972-78) (flac booklet),240685489,229.54,27
jillem-full-archive,afro-cuba - a musical anthology (rounder) (320kb),167972484,160.19,32
jillem-full-archive,afro-soultet - afrodesia (2011) (vbr0),79753902,76.06,24
jillem-full-archive,afrobeat airways 2 - return flight to ghana 1974-1983 (320kb booklet),175131555,167.02,30
jillem-full-archive,afrobeat airways 2 - return flight to ghana 1974-1983 (flac booklet),181341571,172.94,29
jillem-full-archive,afrocult foundation - black goddess (1978; 2011) (flac 320kb),79613695,75.93,13
jillem-full-archive,afrodeclic (ks music) (aac 256kb),156560221,149.31,19
jillem-full-archive,afrodisia presenta spanish grooves (nuevos medios) (2001) (vbr0),144133577,137.46,20
jillem-full-archive,afrosound - calor (1975) (digital) (flac 320kb),73334660,69.94,18
jillem-full-archive,afshin & kiss my black jazz edit - trouble in my way-the riot (gamm) (320kb),34418081,32.82,9
jillem-full-archive,afua takyiwaa's amaniampong - yaw baawua (lp) (flac 320kb),80550379,76.82,10
jillem-full-archive,agbada-owo and his guitar fuji system - leke leke gbami (flac 320kb),89621373,85.47,5
jillem-full-archive,age of worry - the space age relics of monument records 1960-1970 (flac 320kb),183558765,175.06,37
jillem-full-archive,agongo - i am suffering (vbr0),83537384,79.67,11
jillem-full-archive,agrupacion changó - berejú (flac 320kb),96588998,92.11,17
jillem-full-archive,agrupacion changó - berejú (versiones de cerrero) (flac 320kb),39048566,37.24,7
jillem-full-archive,agwa brothers band led by apollo mgboji - ndi nwere ego (1986) (lp) (320kb),75156716,71.68,8
jillem-full-archive,"agyeman brothers international band of ghana - no money, no wife (digital) (flac 320kb)",104091968,99.27,10
jillem-full-archive,ahema nwomkro - nsem nyinaa nyame-nana kodajayen 7'' (digital) (flac 320kb),21009593,20.04,9
jillem-full-archive,ahemaa nwomkro - ye fre yen-me bo wo din 7'' (digital) (320kb),18879889,18.01,6
jillem-full-archive,"ahiwo orchestra - afoute, ep (320kb)",87464157,83.41,9
jillem-full-archive,ahiwo orchestra - arc-en-ciel (320kb),94872580,90.48,9
jillem-full-archive,ahiwo orchestra - best of ahiwo orchestra (320kb),148607969,141.72,11
jillem-full-archive,"ahiwo orchestra - espoir, ep (320kb)",71809607,68.48,8
jillem-full-archive,ahiwo orchestra - ouragan (320kb),127520123,121.61,11
jillem-full-archive,ahiwo orchestra - perseverance (320kb),96338403,91.88,8
jillem-full-archive,ahiwo orchestra - sensation (320kb),99507640,94.9,9
jillem-full-archive,ahiwo orchestra - tour de controle (320kb),122962243,117.27,11
jillem-full-archive,ahl nana - l'orchestre national mauritanien (bonus tracks) (2023) (320kb),215989644,205.98,17
jillem-full-archive,ahl nana - l'orchestre national mauritanien (bonus tracks) (2023) (flac),222732394,212.41,16
jillem-full-archive,ahmad zahir - volume 2; afghan 70s psychedelic folk-pop (vbr0),139433722,132.97,16
jillem-full-archive,ahmed abdul-malik and chick ganimian - oud vibrations (320kb),183128510,174.64,26
jillem-full-archive,ahmed ag kaedy - akaline kidal (320kb),144081666,137.41,16
jillem-full-archive,ahossi de kangandi - assera tougou (320kb),161133415,153.67,14
jillem-full-archive,ahyewa (12'' vinyl ep) (soundway) (vbr0),17105605,16.31,10
jillem-full-archive,"aimer et perdre - to love & to lose songs, 1917-1934 (2cd) (320kb booklet)",300792077,286.86,54
jillem-full-archive,"aimer et perdre - to love & to lose songs, 1917-1934 (2cd) {disc 1} (flac booklet)",145398500,138.66,29
jillem-full-archive,"aimer et perdre - to love & to lose songs, 1917-1934 (2cd) {disc 2} (flac booklet)",202246989,192.88,37
jillem-full-archive,airto fogo - airto fogo (2017) (flac 320kb),80942791,77.19,12
jillem-full-archive,aisha kandisha's jarring effects - el buya (flac 320kb inlay),108522261,103.49,21
jillem-full-archive,ajukaja - benga benga   ahiwo ahiwo (320kb),72442328,69.09,11
jillem-full-archive,akaba man & the nigie rokets - akaba '82 vol. one (lp) (320kb),82975629,79.13,14
jillem-full-archive,akaba man & the nigie rokets - quota system (1989; 2018) (digital) (320kb),111697714,106.52,11
jillem-full-archive,"akido - akido (1972, re 2011) (flac 320kb)",130700144,124.65,19
jillem-full-archive,akofa akoussah - akofa akoussah (2018) (flac 320kb),67131702,64.02,11
jillem-full-archive,"akom ko, 1976 (dwaps 281) (afrodisia) (digital) (flac 320kb)",93635272,89.3,21
jillem-full-archive,akompi's guitar band - akompi's guitar hits (bonus tracks) (flac 320kb),90273593,86.09,24
jillem-full-archive,akosua adomako & amanquah akua - gyidie na ehia & yen agya a wowo soro (adowa gospel) (vbr2),115809886,110.44,11
jillem-full-archive,aktion - celebration (reissue) (320kb),97331210,92.82,10
